system:index,FID,mean,.geo
00000000000000000085,48.0,0.037859704345464706,"{""type"":""Point"",""coordinates"":[30.318398851222668,-29.243893734875066]}"
00000000000000000086,49.0,-0.034441035240888596,"{""type"":""Point"",""coordinates"":[29.915837512066453,-29.67761611924487]}"
00000000000000000087,50.0,0.005432356148958206,"{""type"":""Point"",""coordinates"":[30.29968966287109,-29.258575042358977]}"
00000000000000000088,51.0,-0.06631931662559509,"{""type"":""Point"",""coordinates"":[30.30775200151282,-29.258975083533482]}"
00000000000000000089,53.0,-0.009684375487267971,"{""type"":""Point"",""coordinates"":[30.26089470514135,-29.241867711072395]}"
0000000000000000008a,55.0,0.03037259355187416,"{""type"":""Point"",""coordinates"":[30.284768161975286,-29.275815554198793]}"
0000000000000000008b,57.0,-0.10325959324836731,"{""type"":""Point"",""coordinates"":[30.06800030418781,-29.591642698957706]}"
0000000000000000008c,60.0,0.04395921900868416,"{""type"":""Point"",""coordinates"":[29.922670580226917,-29.68771761451463]}"
0000000000000000008d,61.0,-0.018496684730052948,"{""type"":""Point"",""coordinates"":[30.299117480869587,-29.274700601062886]}"
0000000000000000008e,63.0,0.03503389656543732,"{""type"":""Point"",""coordinates"":[30.528795192640107,-29.275243529224923]}"
0000000000000000008f,64.0,-0.020211465656757355,"{""type"":""Point"",""coordinates"":[30.289724598716564,-29.264494039180256]}"
00000000000000000090,66.0,0.040009234100580215,"{""type"":""Point"",""coordinates"":[29.962112679761155,-29.65668769269968]}"
00000000000000000091,68.0,0.03643122687935829,"{""type"":""Point"",""coordinates"":[30.271685043977385,-29.217511313470062]}"
00000000000000000092,69.0,0.1148107573390007,"{""type"":""Point"",""coordinates"":[30.528992204565963,-29.22925369917003]}"
00000000000000000093,71.0,-0.011837751604616642,"{""type"":""Point"",""coordinates"":[30.056900224482234,-29.596402044955564]}"
00000000000000000094,72.0,-0.07839003205299377,"{""type"":""Point"",""coordinates"":[30.103944101002458,-29.590032706252806]}"
00000000000000000095,73.0,0.04237407073378563,"{""type"":""Point"",""coordinates"":[30.243690553662347,-29.243757168010838]}"
00000000000000000096,74.0,-0.08908335864543915,"{""type"":""Point"",""coordinates"":[29.929346391424673,-29.655838097922445]}"
00000000000000000097,76.0,0.03628560155630112,"{""type"":""Point"",""coordinates"":[29.938054340955983,-29.656173991670787]}"
00000000000000000098,77.0,0.0022067702375352383,"{""type"":""Point"",""coordinates"":[30.316937575407874,-29.248239022845524]}"
00000000000000000099,78.0,-0.09014521539211273,"{""type"":""Point"",""coordinates"":[30.082081778890103,-29.600710160221066]}"
0000000000000000009a,79.0,-3.672015736810863E-5,"{""type"":""Point"",""coordinates"":[30.335838012636085,-29.25339037608558]}"
0000000000000000009b,80.0,-0.0844876691699028,"{""type"":""Point"",""coordinates"":[30.287911590322828,-29.28228678169888]}"
0000000000000000009c,82.0,-6.876452825963497E-4,"{""type"":""Point"",""coordinates"":[29.991238818619653,-29.6477946848449]}"
0000000000000000009d,84.0,0.11499844491481781,"{""type"":""Point"",""coordinates"":[30.447797441974007,-29.259212030160423]}"
0000000000000000009e,86.0,0.08994130045175552,"{""type"":""Point"",""coordinates"":[30.469688239667708,-29.321794664061677]}"
0000000000000000009f,89.0,0.01603849232196808,"{""type"":""Point"",""coordinates"":[29.974704874557318,-29.691110721402165]}"
000000000000000000a0,91.0,-0.10052579641342163,"{""type"":""Point"",""coordinates"":[29.96203429056891,-29.664408161326023]}"
000000000000000000a1,93.0,0.06021261587738991,"{""type"":""Point"",""coordinates"":[29.97850936171096,-29.685113793783454]}"
000000000000000000a2,96.0,-0.03778930380940437,"{""type"":""Point"",""coordinates"":[30.509328686400714,-29.28185407466891]}"
000000000000000000a3,97.0,-0.07997560501098633,"{""type"":""Point"",""coordinates"":[30.060961543302838,-29.604729629705695]}"
000000000000000000a4,100.0,0.23120719194412231,"{""type"":""Point"",""coordinates"":[30.456364298612485,-29.262380060624853]}"
